ID_PIECE;ORDRE_PRODUCTION;SCENARIO;DATE_FABRICATION;ID_UPPER;ID_LOWER;LOT_PREIMPREGNE;LOT_ADHESIF;MOULE_UPPER;MOULE_LOWER;OPERATEUR_DRAPAGE;OPERATEUR_ASSEMBLAGE;CYCLE_CUISSON;PRESSION_VIDE_ABS_MBAR;TEMP_MAX_C;TEMPS_MAINTIEN_MIN;TEMP_DEMOULAGE_C;RATIO_ADHESIF;TEMPS_OUVERT_MIN;EPAISSEUR_MOY_MM;PLANEITE_ENTREE_MM;PLANEITE_SORTIE_MM;DIAMETRE_TROU_MOY_MM;ECART_PROFIL_MAX_MM;ECART_POSITION_TROUS_MAX_MM;PRESSION_TEST_KPA;DUREE_TEST_S;TAUX_FUITE;JOINT_CONTINU_CONFORME;DEFAUT_PRINCIPAL;NB_DEFAUTS;STATUT_FINAL;COMMENTAIRE
DAI-0058;58;AMELIORE;03/03/2026;UP-0058;LO-0058;PRE-03;ADH-03;MU-02;ML-02;OP-D01;OP-A02;CYC-012;76;121,2;90,5;53,6;0,988;26,5;1,96;0,26;0,17;6,53;0,47;0,17;20;60;0,14;OUI;AUCUN;0;CONFORME;
DAI-0059;59;AMELIORE;04/03/2026;UP-0059;LO-0059;PRE-03;ADH-03;MU-01;ML-01;OP-D02;OP-A01;CYC-012;75,4;121,1;89,5;52,1;0,991;23,9;1,98;0,25;0,2;6,49;0,56;0,27;20;60;0,17;OUI;AUCUN;0;CONFORME;
DAI-0060;60;AMELIORE;05/03/2026;UP-0060;LO-0060;PRE-03;ADH-03;MU-02;ML-02;OP-D03;OP-A02;CYC-012;79,9;121;90,3;56,1;1,006;24,7;2;0,17;0,25;6,51;0,41;0,36;20;60;0,19;OUI;AUCUN;0;CONFORME;
DAI-0061;61;AMELIORE;06/03/2026;UP-0061;LO-0061;PRE-04;ADH-03;MU-01;ML-01;OP-D01;OP-A01;CYC-013;63,4;121,6;88,4;53;1,004;24,8;1,98;0,23;0,08;6,48;0,52;0,29;20;60;0,2;OUI;AUCUN;0;CONFORME;
DAI-0062;62;AMELIORE;07/03/2026;UP-0062;LO-0062;PRE-04;ADH-03;MU-02;ML-02;OP-D02;OP-A02;CYC-013;78,7;121,1;89,5;58;1,008;20,5;2,05;0,29;0,17;6,47;0,47;0,26;20;60;0,15;OUI;AUCUN;0;CONFORME;
DAI-0063;63;AMELIORE;08/03/2026;UP-0063;LO-0063;PRE-04;ADH-03;MU-01;ML-01;OP-D03;OP-A01;CYC-013;80,4;120,6;89,9;57,3;0,998;23,7;2,02;0,31;0,11;6,52;0,34;0,29;20;60;0,13;OUI;AUCUN;0;CONFORME;
DAI-0064;64;AMELIORE;09/03/2026;UP-0064;LO-0064;PRE-04;ADH-03;MU-02;ML-02;OP-D01;OP-A02;CYC-013;78,9;121,1;88,1;54,1;0,995;23;1,98;0,28;0,23;6,53;0,26;0,18;20;60;0,14;OUI;AUCUN;0;CONFORME;
DAI-0065;65;AMELIORE;10/03/2026;UP-0065;LO-0065;PRE-04;ADH-03;MU-01;ML-01;OP-D02;OP-A01;CYC-013;73,1;121,5;91,6;57,7;1,006;26,8;1,97;0,24;0,13;6,48;0,31;0,28;20;60;0,12;OUI;AUCUN;0;CONFORME;
DAI-0066;66;AMELIORE;11/03/2026;UP-0066;LO-0066;PRE-04;ADH-03;MU-02;ML-02;OP-D03;OP-A02;CYC-014;71,1;120,8;90,1;52,1;1,012;24,7;2,09;0,22;0,17;6,49;0,53;0,18;20;60;0,34;NON;COLLAGE;1;NON CONFORME;Critères hors limite : COLLAGE
DAI-0067;67;AMELIORE;12/03/2026;UP-0067;LO-0067;PRE-04;ADH-03;MU-01;ML-01;OP-D01;OP-A01;CYC-014;61,3;121,3;89;54,9;1,008;26,8;1,98;0,17;0,25;6,49;0,37;0,4;20;60;0,13;OUI;AUCUN;0;CONFORME;
DAI-0068;68;AMELIORE;13/03/2026;UP-0068;LO-0068;PRE-04;ADH-03;MU-02;ML-02;OP-D02;OP-A02;CYC-014;74,9;120,8;89,4;52,2;0,997;27,2;2;0,29;0,18;6,48;0,29;0,13;20;60;0,37;NON;COLLAGE;1;NON CONFORME;Critères hors limite : COLLAGE
DAI-0069;69;AMELIORE;14/03/2026;UP-0069;LO-0069;PRE-04;ADH-03;MU-01;ML-01;OP-D03;OP-A01;CYC-014;74,2;121,9;90,5;52,2;0,996;20,4;2,04;0,25;0,2;6,49;0,5;0,31;20;60;0,19;OUI;AUCUN;0;CONFORME;
DAI-0070;70;AMELIORE;15/03/2026;UP-0070;LO-0070;PRE-04;ADH-03;MU-02;ML-02;OP-D01;OP-A02;CYC-014;75,8;121,4;88,2;51,6;1,002;23,8;2,05;0,22;0,19;6,5;0,32;0,3;20;60;0,13;OUI;AUCUN;0;CONFORME;
DAI-0071;71;AMELIORE;16/03/2026;UP-0071;LO-0071;PRE-04;ADH-03;MU-01;ML-01;OP-D02;OP-A01;CYC-015;71;121,5;90;53,7;1,008;29;2;0,31;0,19;6,55;0,4;0,3;20;60;0,27;OUI;AUCUN;0;CONFORME;
DAI-0072;72;AMELIORE;17/03/2026;UP-0072;LO-0072;PRE-04;ADH-03;MU-02;ML-02;OP-D03;OP-A02;CYC-015;78,8;121,3;90,9;51,2;1,002;24,6;2,04;0,22;0,14;6,46;0,5;0,16;20;60;0,16;OUI;AUCUN;0;CONFORME;
DAI-0073;73;AMELIORE;18/03/2026;UP-0073;LO-0073;PRE-04;ADH-03;MU-01;ML-01;OP-D01;OP-A01;CYC-015;68,9;120,5;91,9;52,3;0,998;23;2;0,3;0,17;6,53;0,39;0,21;20;60;0,13;OUI;AUCUN;0;CONFORME;
DAI-0074;74;AMELIORE;19/03/2026;UP-0074;LO-0074;PRE-04;ADH-03;MU-02;ML-02;OP-D02;OP-A02;CYC-015;82,9;120,5;90,9;55,2;1,003;24,3;1,98;0,2;0,21;6,46;0,28;0,19;20;60;0,16;OUI;AUCUN;0;CONFORME;
DAI-0075;75;AMELIORE;20/03/2026;UP-0075;LO-0075;PRE-04;ADH-03;MU-01;ML-01;OP-D03;OP-A01;CYC-015;64,4;120,9;91;55,1;1,019;27,8;1,93;0,26;0,17;6,49;0,47;0,19;20;60;0,15;OUI;AUCUN;0;CONFORME;
DAI-0076;76;AMELIORE;21/03/2026;UP-0076;LO-0076;PRE-04;ADH-04;MU-02;ML-02;OP-D01;OP-A02;CYC-016;68,7;121,1;89,1;55,8;1,004;25,4;2,02;0,25;0,17;6,47;0,43;0,26;20;60;0,16;OUI;AUCUN;0;CONFORME;
DAI-0077;77;AMELIORE;22/03/2026;UP-0077;LO-0077;PRE-04;ADH-04;MU-01;ML-01;OP-D02;OP-A01;CYC-016;81,8;120,8;91,3;54,8;1,012;23,2;1,98;0,12;0,15;6,49;0,49;0,17;20;60;0,11;OUI;AUCUN;0;CONFORME;
DAI-0078;78;AMELIORE;23/03/2026;UP-0078;LO-0078;PRE-04;ADH-04;MU-02;ML-02;OP-D03;OP-A02;CYC-016;83,9;121,2;90,5;56,5;1,004;27,3;2,04;0,25;0,2;6,51;0,3;0,18;20;60;0,14;OUI;AUCUN;0;CONFORME;
DAI-0079;79;AMELIORE;24/03/2026;UP-0079;LO-0079;PRE-04;ADH-04;MU-01;ML-01;OP-D01;OP-A01;CYC-016;78,1;121,3;89,9;54,1;0,991;22,9;1,96;0,23;0,19;6,5;0,48;0,32;20;60;0,14;OUI;AUCUN;0;CONFORME;
DAI-0080;80;AMELIORE;25/03/2026;UP-0080;LO-0080;PRE-04;ADH-04;MU-02;ML-02;OP-D02;OP-A02;CYC-016;75,9;121,6;90,2;52,7;1,001;25,5;1,94;0,3;0,22;6,52;0,31;0,31;20;60;0,1;OUI;AUCUN;0;CONFORME;
DAI-0081;81;AMELIORE;26/03/2026;UP-0081;LO-0081;PRE-05;ADH-04;MU-01;ML-01;OP-D03;OP-A01;CYC-017;76,9;120,8;89,8;53,9;1,02;26,6;2,04;0,23;0,23;6,5;0,44;0,28;20;60;0,16;OUI;AUCUN;0;CONFORME;
DAI-0082;82;AMELIORE;27/03/2026;UP-0082;LO-0082;PRE-05;ADH-04;MU-02;ML-02;OP-D01;OP-A02;CYC-017;76,9;120,9;91;56,3;1,019;26;2,03;0,24;0,23;6,47;0,39;0,29;20;60;0,21;OUI;AUCUN;0;CONFORME;
DAI-0083;83;AMELIORE;28/03/2026;UP-0083;LO-0083;PRE-05;ADH-04;MU-01;ML-01;OP-D02;OP-A01;CYC-017;71,4;121,1;91,6;55,3;1,004;23,8;1,98;0,17;0,15;6,48;0,33;0,3;20;60;0,19;OUI;AUCUN;0;CONFORME;
DAI-0084;84;AMELIORE;29/03/2026;UP-0084;LO-0084;PRE-05;ADH-04;MU-02;ML-02;OP-D03;OP-A02;CYC-017;76,9;120,3;89,6;55,4;0,999;27,4;2,02;0,29;0,15;6,52;0,34;0,17;20;60;0,24;OUI;AUCUN;0;CONFORME;
